entity,as_of,population,current_census_median,projected_peak_median,projected_peak_p90,projected_peak_per_100k,benchmark_peak,benchmark_per_100k,benchmark_usable,utilisation_median,prob_exceed_benchmark,lead_time_days,lead_time_days_p25,horizon
Slovenia,2020-10-25,2119843.0,28.43901391416054,1073.9997952812057,2400.0805173499207,50.6641197145829,28.43901391416054,1.3415622720248876,True,37.765015289311165,1.0,0.0,0.0,21
Switzerland,2020-10-25,8740471.0,102.95899567154866,3564.733755122297,7829.63487735508,40.784229535482666,102.95899567154866,1.1779570651461309,True,34.622848949442144,1.0,0.0,0.0,21
Belgium,2020-10-25,11655923.0,413.3516827115731,4217.824370049333,8443.27801000648,36.18610358055156,413.3516827115731,3.5462801419636447,True,10.203960807370004,1.0,0.0,0.0,21
Czechia,2020-10-25,10493990.0,371.3396229041135,3257.7524614126332,6528.929247328267,31.043982902715108,371.3396229041135,3.538593260562603,True,8.772972934950824,1.0,0.0,0.0,21
Armenia,2020-10-25,2780472.0,51.94013284779875,623.8795412452671,1279.994397993329,22.437900516360788,51.97148632655656,1.8691605715344934,True,12.004265903137643,1.0,0.0,0.0,21
Georgia,2020-10-25,3744385.0,41.85749067958943,778.998233318561,1660.1990396253627,20.8044373994277,41.85749067958943,1.1178735808307487,True,18.6107246438071,1.0,0.0,0.0,21
Croatia,2020-10-25,4030361.0,30.909497604596453,668.3601906116212,1429.221779549305,16.58313462768276,30.909497604596453,0.7669163532645451,False,,,,,21
France,2020-10-25,67813000.0,1284.8621773696511,10986.544411138697,21992.36273468333,16.201236357540143,1284.8621773696511,1.8947136645918203,True,8.550757119826011,1.0,0.0,0.0,21
Bosnia and Herzegovina,2020-10-25,3233530.0,24.855905084935255,441.77446269456453,941.6831297025557,13.662296706527062,24.855905084935255,0.7686925769958917,False,,,,,21
Italy,2020-10-25,59037472.0,326.6063378499082,7640.888201357662,16407.726325503176,12.942437984739017,354.73398145156636,0.6008624174347545,False,,,,,21
Spain,2020-10-25,47558632.0,866.3287023718586,4880.397772996344,9639.668037307705,10.261854825841805,868.9110456492299,1.8270312015056067,True,5.616682855435249,1.0,0.0,0.0,21
Netherlands,2020-10-25,17564020.0,437.0121816823456,1701.278031085765,3108.6793911821546,9.686154030146657,437.0121816823456,2.4881102485783186,True,3.8929762198766027,1.0,0.0,0.0,21
Poland,2020-10-25,39857144.0,276.89937212844995,3755.4991578121676,7737.523639842096,9.422399050499374,276.89937212844995,0.694729587570173,False,,,,,21
Austria,2020-10-25,8939617.0,76.86313835703754,784.3996064640789,1616.4777300833125,8.774420721425527,76.86313835703754,0.8598034832704526,False,,,,,21
Slovakia,2020-10-25,5643455.0,71.05367046639353,479.2769605510985,938.9970532106981,8.49261596931487,71.05367046639353,1.259045575208689,True,6.74528081948678,1.0,0.0,0.0,21
Lithuania,2020-10-25,2750058.0,11.888092376561243,199.775376858056,424.40607776855666,7.264405945549366,11.888092376561243,0.43228515095177056,False,,,,,21
Bulgaria,2020-10-25,6781955.0,31.670887528503755,491.47491117567023,1039.6597755938424,7.246802893497085,31.670887528503755,0.466987579960406,False,,,,,21
United Kingdom,2020-10-25,67508936.0,1050.3329122692758,3975.559163117867,7392.196937438788,5.888937670589071,1050.3329122692758,1.5558427883817867,True,3.78504673773247,1.0,0.0,0.0,21
Ireland,2020-10-25,5023108.0,45.582191264716094,281.78405482920044,543.4741886504355,5.609755052632762,48.59492795647804,0.9674274962130626,False,,,,,21
Portugal,2020-10-25,10270857.0,91.3159445351221,562.6220286233644,1089.5495638333603,5.477848913906253,91.3159445351221,0.8890781415330979,False,,,,,21
Germany,2020-10-25,83369840.0,296.92502560007017,4367.126904535239,9241.43170362063,5.238257509592485,335.8203715121251,0.40280798369305393,False,,,,,21
Serbia,2020-10-25,6871547.0,9.423694971072406,343.971090376301,783.5952188473747,5.005730010670101,28.21844725362618,0.4106563959123932,False,,,,,21
Hungary,2020-10-25,9967304.0,79.74777036991236,482.0893461615469,956.6036890552466,4.83670756065579,79.96591172507394,0.8022822593258311,False,,,,,21
North Macedonia,2020-10-25,2093606.0,21.71577162230536,92.11685292895585,173.44335871785725,4.39991349513499,21.71577162230536,1.0372425194762225,True,4.2419332147671875,1.0,0.0,0.0,21
Argentina,2020-10-25,45510324.0,1011.0531670329459,1842.7135449589623,3191.251460751271,4.049001156218888,1018.8862250747674,2.238802398055367,True,1.8085567353938279,0.88,1.0,0.0,21
Greece,2020-10-25,10384972.0,29.51023059988995,404.35014600468315,859.412995783648,3.893608437313872,29.588080037357273,0.2849124681063875,False,,,,,21
Sweden,2020-10-25,10549349.0,46.94811338728816,407.63735058059876,829.6420507663485,3.8640995816955037,76.90363224518265,0.7289893646061255,False,,,,,21
Romania,2020-10-25,19659270.0,194.99495382512833,756.4337380945411,1392.7767054780045,3.847720378704505,194.99495382512833,0.9918728102575952,False,,,,,21
Congo,2020-10-25,5970430.0,0.39584777882005145,219.24181351593137,396.24651695796365,3.6721276945870125,5.281984892060898,0.08846908668321876,False,,,,,21
Azerbaijan,2020-10-25,10358078.0,14.689290091541885,349.22902950382377,755.8759190368478,3.3715620745839505,40.767761561870756,0.3935842302198415,False,,,,,21
Jordan,2020-10-25,11285875.0,95.0007064237897,378.7856627260814,697.2970952580538,3.3562808619276874,95.0007064237897,0.8417664241699442,False,,,,,21
Lebanon,2020-10-25,5489744.0,90.79939321646754,180.7052242655164,318.03718462469146,3.291687631800616,91.59164226884548,1.668413723278271,True,1.9729444716702338,0.9266666666666666,1.0,0.0,21
United States,2020-10-25,338289856.0,3701.29459052706,10520.980978421316,18766.978582162144,3.1100492053835973,4920.173556536274,1.454425389727404,True,2.1383353366558726,0.9466666666666667,6.0,1.0,21
