model,nominal,empirical,n,gap
drift14,0.95,0.8576224328593997,5064,-0.0923775671406003
drift14,0.8,0.7164296998420221,5064,-0.08357030015797795
drift14,0.5,0.44214060031595576,5064,-0.057859399684044244
drift14_damped,0.95,0.856437598736177,5064,-0.09356240126382298
drift14_damped,0.8,0.7031990521327014,5064,-0.09680094786729865
drift14_damped,0.5,0.4419431279620853,5064,-0.05805687203791471
panel_gbm,0.95,0.8657187993680885,5064,-0.08428120063191147
panel_gbm,0.8,0.7245260663507109,5064,-0.07547393364928912
panel_gbm,0.5,0.4472748815165877,5064,-0.052725118483412325
persistence,0.95,0.858214849921011,5064,-0.09178515007898891
persistence,0.8,0.7035939968404423,5064,-0.09640600315955772
persistence,0.5,0.4334518167456556,5064,-0.06654818325434442
renewal_rt_damp0.95,0.95,0.8520932069510269,5064,-0.0979067930489731
renewal_rt_damp0.95,0.8,0.69826224328594,5064,-0.10173775671406005
renewal_rt_damp0.95,0.5,0.42575039494470773,5064,-0.07424960505529227
renewal_rt_undamped,0.95,0.8578199052132701,5064,-0.09218009478672984
renewal_rt_undamped,0.8,0.7012243285939969,5064,-0.09877567140600318
renewal_rt_undamped,0.5,0.4304897314375987,5064,-0.06951026856240128
