model,horizon,n,rel_wis,scaled_wis_median,scaled_wis_p90,wis,sharpness,underprediction,overprediction,mae,coverage_95,coverage_50
renewal_rt_damp0.95,7,2532,0.769480807601091,0.19583385003221065,1.6703232020564445,7790.196067067625,1222.393433174191,4768.876765674673,215.09000277434296,11960.047446020752,0.8499210110584519,0.41311216429699843
panel_gbm,7,2532,0.7924409107014315,0.20613116103761697,1.5891754271266474,2563.8863266501717,771.3893379866743,826.9822517495081,380.1680177037713,3918.238430910841,0.8712480252764613,0.4411532385466035
renewal_rt_undamped,7,2532,0.807253764894977,0.21038701398779747,1.7965832753930007,10807.311937992077,1634.078657827243,6739.139218950623,214.74584861131592,16546.774589799563,0.8558451816745656,0.4273301737756714
drift14_damped,7,2532,0.9179976132351879,0.2211705635871968,2.093068469208465,4917.460657091336,1176.0656481676485,2265.236957014504,323.7964030615457,7918.482392653063,0.858609794628752,0.43759873617693523
drift14,7,2532,0.9864418520336723,0.23766284979720012,2.262265743062206,22985.74123300461,4060.5589354707326,12836.507815808867,295.25741487324996,39946.78715313878,0.8558451816745656,0.4415481832543444
persistence,7,2532,1.0,0.2649861548465202,2.163767996050454,2561.442473415309,955.5564525390649,567.8213235147197,433.4956937596753,3991.9973482283917,0.8570300157977883,0.4265402843601896
renewal_rt_damp0.95,14,2532,0.8084264724137203,0.3670695302331598,3.8089857078380027,508548.0253799236,215062.36440456696,218212.79394003435,468.07474920584053,565123.9354339599,0.8542654028436019,0.43838862559241704
panel_gbm,14,2532,0.8279153433835454,0.3955613941300675,3.128526826307751,5013.219199315609,1736.4475887390515,1445.9138890764536,715.5673523014036,7401.255014335919,0.8601895734597157,0.45339652448657186
drift14_damped,14,2532,0.8884901970546475,0.4014133885278029,4.056809365409202,26507.88709173657,7273.327100717039,12576.59326910801,720.0633767348703,40585.42373650194,0.8542654028436019,0.4462875197472354
renewal_rt_undamped,14,2532,0.9350710378054984,0.4140251711263194,4.589204898849667,3021572.4912657323,1234123.9321366488,1332996.3986740788,445.7178019927022,3550424.38843406,0.8597946287519748,0.43364928909952605
persistence,14,2532,1.0,0.4924247959569822,3.9609414993716197,4950.453054789198,2004.229574001158,956.4874649564229,893.8754031993633,7071.037914691943,0.8593996840442338,0.44036334913112163
drift14,14,2532,1.0432149165392053,0.44565450216057156,4.982955286179477,28419769.19301096,9470981.874540528,12362377.597279405,574.1858007183002,42218830.77485467,0.8593996840442338,0.44273301737756715
