model,horizon,regime,n,rel_wis
panel_gbm,7,flat,1343,0.9549821910266183
renewal_rt_damp0.95,7,flat,1343,0.9668526065015444
persistence,7,flat,1343,1.0
renewal_rt_undamped,7,flat,1343,1.0402434143927368
drift14_damped,7,flat,1343,1.1069227021998542
drift14,7,flat,1343,1.2853920616924959
renewal_rt_damp0.95,7,growing,533,0.7284529950116906
panel_gbm,7,growing,533,0.7775373337076459
renewal_rt_undamped,7,growing,533,0.7816634324015206
drift14_damped,7,growing,533,0.9010596494320023
drift14,7,growing,533,0.9662919820721649
persistence,7,growing,533,1.0
renewal_rt_undamped,7,receding,656,0.49308673602781383
renewal_rt_damp0.95,7,receding,656,0.5041052961276392
panel_gbm,7,receding,656,0.5492633418950951
drift14,7,receding,656,0.5834357232101626
drift14_damped,7,receding,656,0.6353613621115761
persistence,7,receding,656,1.0
persistence,14,flat,880,1.0
drift14_damped,14,flat,880,1.036172454691062
panel_gbm,14,flat,880,1.057690950926251
renewal_rt_damp0.95,14,flat,880,1.0609685969242932
renewal_rt_undamped,14,flat,880,1.326810588899177
drift14,14,flat,880,1.4701449911408042
panel_gbm,14,growing,771,0.9358728310894004
renewal_rt_damp0.95,14,growing,771,0.9746867547184823
persistence,14,growing,771,1.0
drift14_damped,14,growing,771,1.0128516617188996
renewal_rt_undamped,14,growing,771,1.2116786691288703
drift14,14,growing,771,1.2964459136187139
renewal_rt_damp0.95,14,receding,881,0.5231539838015886
renewal_rt_undamped,14,receding,881,0.5254867931174749
panel_gbm,14,receding,881,0.5823032543905161
drift14,14,receding,881,0.6122941206118233
drift14_damped,14,receding,881,0.6794529857346088
persistence,14,receding,881,1.0
