entity,cases,deaths,population,deaths_per_million,cases_per_million,case_fatality_pct
Delhi,1436451,25058,20600000.0,1216.4077669902913,69730.63106796116,1.7444382022080809
Maharashtra,6321068,133214,123100000.0,1082.1608448415923,51349.04955320877,2.1074603215785688
Uttarakhand,342246,7366,11400000.0,646.140350877193,30021.57894736842,2.152253057742092
Karnataka,2909958,36657,67600000.0,542.2633136094674,43046.71597633136,1.259708903015095
Punjab,599204,16299,30100000.0,541.4950166112957,19907.109634551492,2.720108677512166
Manipur,100619,1592,3100000.0,513.5483870967741,32457.741935483868,1.5822061439688329
Kerala,3449149,17104,35700000.0,479.10364145658264,96614.81792717088,0.4958904355828061
Himachal Pradesh,206589,3507,7450000.0,470.73825503355704,27730.06711409396,1.6975734429229048
Chhattisgarh,1002600,13530,29400000.0,460.2040816326531,34102.040816326524,1.3494913225613405
Tamil Nadu,2565452,34159,77800000.0,439.0616966580977,32974.96143958869,1.3315002580441966
Haryana,769982,9641,28900000.0,333.598615916955,26642.97577854671,1.2521071921161793
Meghalaya,66447,1118,3360000.0,332.73809523809524,19775.892857142855,1.6825439824220807
Jammu and Kashmir,321865,4384,13600000.0,322.3529411764706,23666.54411764706,1.362061733956783
Nagaland,28035,571,2200000.0,259.5454545454545,12743.181818181818,2.036739789548778
Andhra Pradesh,1971554,13428,53900000.0,249.12801484230056,36577.99628942486,0.681087101849607
Tripura,79023,752,4100000.0,183.41463414634146,19273.90243902439,0.9516216797641193
West Bengal,1530024,18170,99100000.0,183.35015136226036,15439.192734611503,1.1875630709060774
Assam,569337,5312,35600000.0,149.2134831460674,15992.612359550563,0.9330150684041262
Gujarat,824938,10075,70000000.0,143.92857142857144,11784.828571428572,1.221303904050971
Jharkhand,347220,5129,38600000.0,132.87564766839378,8995.336787564767,1.4771614538333044
Odisha,980866,6155,46400000.0,132.65086206896552,21139.35344827586,0.6275067134552528
Madhya Pradesh,791880,10514,85000000.0,123.69411764705883,9316.235294117647,1.3277264231954335
Rajasthan,953715,8954,81000000.0,110.54320987654322,11774.25925925926,0.9388548990002255
Telangana,646096,3811,38500000.0,98.98701298701299,16781.714285714286,0.5898504247046878
Uttar Pradesh,1708562,22765,231500000.0,98.33693304535636,7380.397408207344,1.3324070182995993
Bihar,724977,9644,124800000.0,77.27564102564102,5809.110576923077,1.3302490975575776
