entity,n_days,active_days,peak_daily,neg_days,neg_max_magnitude,gap_runs,gap_longest,fill_runs,fill_longest,dump_days,dump_max_ratio,weekday_amplitude,weekday_p,neg_rate,gap_severity,fill_severity,dump_rate,weekday_amp,heaping,benford_mad,benford_p,benford_verdict,terminal_p,terminal_verdict,pen_neg_rate,pen_gap_severity,pen_fill_severity,pen_dump_rate,pen_weekday_amp,pen_heaping,pen_benford_mad,penalty,reliability_index,worst_component,worst_component_desc
Antigua and Barbuda,1142,244,468.0,2,1.0,13,5,0,0,11,21.0,0.9305428585743603,0.1377245508982036,0.00819672131147541,5.0,0.0,16.466188524590166,0.9305428585743603,,0.030753975444360655,0.04489922752741942,nonconformity,,insufficient-data,0.4098360655737705,0.35714285714285715,0.0,1.0,0.9305428585743603,,1.0,0.5589647887909843,44.10352112090157,dump_rate,batch releases of withheld cases
Monaco,1142,499,520.0,3,86.0,13,6,1,3,6,43.0,1.604872082977736,0.001996007984031936,0.006012024048096192,6.0,3.0,4.391783567134269,1.604872082977736,,0.03419884179135249,3.882868422226289e-08,nonconformity,,insufficient-data,0.3006012024048096,0.42857142857142855,0.21428571428571427,0.7319639278557114,1.0,,1.0,0.5486392953975177,45.136070460248234,weekday_amp,cases reported in weekday batches
Solomon Islands,1142,202,3063.0,1,3.0,8,21,0,0,1,7.1395348837209305,1.2182106158171675,0.2754491017964072,0.0049504950495049506,21.0,0.0,1.808168316831683,1.2182106158171675,,0.028921860459149247,0.4032926841499373,nonconformity,,insufficient-data,0.24752475247524752,1.0,0.0,0.30136138613861385,1.0,,0.9640620153049749,0.5210732460954004,47.89267539045996,gap_severity,reporting stopped mid-epidemic
Burundi,1142,758,4710.0,0,0.0,45,13,0,0,14,20.0,1.767795291587113,0.001996007984031936,0.0,13.0,0.0,6.746042216358839,1.767795291587113,0.09438775510204077,0.024743069101468812,8.453543341038397e-05,nonconformity,0.4621160133344341,uniform,0.0,0.9285714285714286,0.0,1.0,1.0,0.18877551020408154,0.8247689700489604,0.5088404893187746,49.11595106812254,dump_rate,batch releases of withheld cases
Sudan,1142,741,1284.0,1,13.0,52,21,0,0,11,29.0,1.461319920255184,0.001996007984031936,0.001349527665317139,21.0,0.0,5.422064777327935,1.461319920255184,0.09326424870466317,0.016652143376133993,0.20662019804053355,nonconformity,0.08196087432219074,uniform,0.06747638326585695,1.0,0.0,0.9036774628879892,1.0,0.18652849740932634,0.5550714458711331,0.5047797429913253,49.52202570086747,gap_severity,reporting stopped mid-epidemic
Guinea-Bissau,1142,321,305.0,0,0.0,13,37,0,0,3,17.363636363636363,1.025555945892969,0.00998003992015968,0.0,37.0,0.0,3.413551401869159,1.025555945892969,,0.025230297543837113,0.020076994726581344,nonconformity,,insufficient-data,0.0,1.0,0.0,0.5689252336448598,1.0,,0.8410099181279038,0.5028109187683812,49.718908123161874,gap_severity,reporting stopped mid-epidemic
Papua New Guinea,1142,561,1543.0,1,16.0,30,17,0,0,15,41.45454545454545,1.126303689129272,0.001996007984031936,0.0017825311942959,17.0,0.0,9.766042780748664,1.126303689129272,0.023437499999999986,0.015323649018893548,0.25390993544656437,nonconformity,0.5247268262858615,uniform,0.089126559714795,1.0,0.0,1.0,1.0,0.04687499999999997,0.510788300629785,0.5003959769744482,49.96040230255518,gap_severity,reporting stopped mid-epidemic
Lesotho,1142,509,6925.0,0,0.0,31,20,0,0,20,38.05882352941177,0.8785948616211539,0.11377245508982035,0.0,20.0,0.0,14.351669941060903,0.8785948616211539,0.08928571428571425,0.025044494507011326,0.15610108181920868,nonconformity,0.28562836373469946,uniform,0.0,1.0,0.0,1.0,0.8785948616211539,0.1785714285714285,0.8348164835670442,0.5003157677072396,49.96842322927604,gap_severity,reporting stopped mid-epidemic
San Marino,1142,622,491.0,0,0.0,23,14,0,0,9,195.0,1.2471461426345765,0.001996007984031936,0.0,14.0,0.0,5.284967845659164,1.2471461426345765,0.024999999999999988,0.03307956019658059,1.7772931737499127e-09,nonconformity,0.2368098152177318,uniform,0.0,1.0,0.0,0.8808279742765274,1.0,0.049999999999999975,1.0,0.4896241961414791,51.03758038585209,gap_severity,reporting stopped mid-epidemic
Djibouti,1142,315,415.0,0,0.0,3,4,1,3,5,13.666666666666666,0.970474984424639,0.001996007984031936,0.0,4.0,3.0,5.7976190476190474,0.970474984424639,,0.03752480239136906,2.9701442100835575e-06,nonconformity,,insufficient-data,0.0,0.2857142857142857,0.21428571428571427,0.9662698412698413,0.970474984424639,,1.0,0.4888373221813787,51.116267781862135,weekday_amp,cases reported in weekday batches
Mauritius,1142,679,30006.0,5,41.0,48,13,0,0,6,39.52777777777778,1.5972255619718958,0.001996007984031936,0.007363770250368188,13.0,0.0,3.227540500736377,1.5972255619718958,0.0,0.026831006798155838,0.0062517169922239905,nonconformity,0.5207317614492095,uniform,0.3681885125184094,0.9285714285714286,0.0,0.5379234167893961,1.0,0.0,0.8943668932718613,0.4883302739713986,51.16697260286014,weekday_amp,cases reported in weekday batches
Saint Vincent and the Grenadines,1142,268,2723.0,1,1544.0,16,5,0,0,7,80.5,0.7659164602451763,0.17564870259481039,0.0037313432835820895,5.0,0.0,9.540111940298507,0.7659164602451763,,0.03791603929302843,0.0011111293195719774,nonconformity,,insufficient-data,0.18656716417910446,0.35714285714285715,0.0,1.0,0.7659164602451763,,1.0,0.47737921228708924,52.26207877129107,dump_rate,batch releases of withheld cases
